"","season","date","team","game_num"
"82","2005-2006","2005-11-05","TOR",3
"83","2005-2006","2005-11-05","UTA",3
"84","2005-2006","2005-11-05","WAS",3
"85","2005-2006","2005-11-06","DEN",4
"86","2005-2006","2005-11-06","GSW",3
"87","2005-2006","2005-11-06","LAL",3
"88","2005-2006","2005-11-06","NYK",3
"89","2005-2006","2005-11-06","PHO",4
"90","2005-2006","2005-11-06","SAC",3
"91","2005-2006","2005-11-07","BRK",4
"92","2005-2006","2005-11-07","CHA",4
"93","2005-2006","2005-11-07","CHI",3
"94","2005-2006","2005-11-07","CLE",4
"95","2005-2006","2005-11-07","LAC",4
"96","2005-2006","2005-11-07","MIA",4
"97","2005-2006","2005-11-07","MIN",4
"98","2005-2006","2005-11-07","SAS",4
"99","2005-2006","2005-11-07","TOR",4
"100","2005-2006","2005-11-07","UTA",4
"101","2005-2006","2005-11-08","ATL",4
"102","2005-2006","2005-11-08","DET",4
"103","2005-2006","2005-11-08","GSW",4
"104","2005-2006","2005-11-08","HOU",3
"105","2005-2006","2005-11-08","LAL",4
"106","2005-2006","2005-11-08","MEM",4
"107","2005-2006","2005-11-08","MIL",4
"108","2005-2006","2005-11-08","OKC",3
"109","2005-2006","2005-11-08","ORL",4
"110","2005-2006","2005-11-08","SAC",4
"111","2005-2006","2005-11-09","BOS",4
"112","2005-2006","2005-11-09","BRK",5
"113","2005-2006","2005-11-09","CHA",5
"114","2005-2006","2005-11-09","CHI",4
"115","2005-2006","2005-11-09","CLE",5
"116","2005-2006","2005-11-09","DAL",4
"117","2005-2006","2005-11-09","DEN",5
"118","2005-2006","2005-11-09","GSW",5
"119","2005-2006","2005-11-09","IND",4
"120","2005-2006","2005-11-09","LAC",5
"121","2005-2006","2005-11-09","LAL",5
"122","2005-2006","2005-11-09","MEM",5
"123","2005-2006","2005-11-09","MIA",5
"124","2005-2006","2005-11-09","MIN",5
"125","2005-2006","2005-11-09","NOH",4
"126","2005-2006","2005-11-09","NYK",4
"127","2005-2006","2005-11-09","OKC",4
"128","2005-2006","2005-11-09","ORL",5
"129","2005-2006","2005-11-09","PHI",5
"130","2005-2006","2005-11-09","POR",4
"131","2005-2006","2005-11-09","SAC",5
"132","2005-2006","2005-11-09","SAS",5
"133","2005-2006","2005-11-09","UTA",5
"134","2005-2006","2005-11-09","WAS",4
"135","2005-2006","2005-11-10","ATL",5
"136","2005-2006","2005-11-10","DET",5
"137","2005-2006","2005-11-10","HOU",4
"138","2005-2006","2005-11-10","LAC",6
"139","2005-2006","2005-11-10","MIA",6
"140","2005-2006","2005-11-10","PHO",5
"141","2005-2006","2005-11-11","BOS",5
"142","2005-2006","2005-11-11","BRK",6
"143","2005-2006","2005-11-11","CHA",6
"144","2005-2006","2005-11-11","CLE",6
"145","2005-2006","2005-11-11","DAL",5
"146","2005-2006","2005-11-11","DEN",6
"147","2005-2006","2005-11-11","DET",6
"148","2005-2006","2005-11-11","GSW",6
"149","2005-2006","2005-11-11","IND",5
"150","2005-2006","2005-11-11","LAL",6
"151","2005-2006","2005-11-11","MEM",6
"152","2005-2006","2005-11-11","NYK",5
"153","2005-2006","2005-11-11","OKC",5
"154","2005-2006","2005-11-11","PHI",6
"155","2005-2006","2005-11-11","POR",5
"156","2005-2006","2005-11-11","SAC",6
"157","2005-2006","2005-11-11","SAS",6
"158","2005-2006","2005-11-11","TOR",5
"159","2005-2006","2005-11-11","UTA",6
"160","2005-2006","2005-11-11","WAS",5
"161","2005-2006","2005-11-12","ATL",6
"162","2005-2006","2005-11-12","BRK",7
"163","2005-2006","2005-11-12","CHA",7
"164","2005-2006","2005-11-12","CHI",5
"165","2005-2006","2005-11-12","DAL",6
"166","2005-2006","2005-11-12","GSW",7
"167","2005-2006","2005-11-12","HOU",5
"168","2005-2006","2005-11-12","IND",6
"169","2005-2006","2005-11-12","MEM",7
"170","2005-2006","2005-11-12","MIA",7
"171","2005-2006","2005-11-12","MIL",5
"172","2005-2006","2005-11-12","NOH",5
"173","2005-2006","2005-11-12","PHO",6
"174","2005-2006","2005-11-12","SAS",7
"175","2005-2006","2005-11-12","UTA",7
"176","2005-2006","2005-11-12","WAS",6
"177","2005-2006","2005-11-13","BOS",6
"178","2005-2006","2005-11-13","CLE",7
"179","2005-2006","2005-11-13","DEN",7
"180","2005-2006","2005-11-13","HOU",6
"181","2005-2006","2005-11-13","LAC",7
"182","2005-2006","2005-11-13","MIN",6
"183","2005-2006","2005-11-13","NYK",6
"184","2005-2006","2005-11-13","OKC",6
"185","2005-2006","2005-11-13","ORL",6
"186","2005-2006","2005-11-13","PHI",7
"187","2005-2006","2005-11-13","SAC",7
"188","2005-2006","2005-11-13","TOR",6
"189","2005-2006","2005-11-14","CHI",6
"190","2005-2006","2005-11-14","GSW",8
"191","2005-2006","2005-11-14","LAL",7
"192","2005-2006","2005-11-14","MEM",8
"193","2005-2006","2005-11-14","NYK",7
"194","2005-2006","2005-11-14","UTA",8
"195","2005-2006","2005-11-15","ATL",7
"196","2005-2006","2005-11-15","BOS",7
"197","2005-2006","2005-11-15","BRK",8
"198","2005-2006","2005-11-15","CHA",8
"199","2005-2006","2005-11-15","CLE",8
"200","2005-2006","2005-11-15","DAL",7
"201","2005-2006","2005-11-15","DEN",8
"202","2005-2006","2005-11-15","DET",7
"203","2005-2006","2005-11-15","HOU",7
"204","2005-2006","2005-11-15","LAC",8
"205","2005-2006","2005-11-15","MIA",8
"206","2005-2006","2005-11-15","MIL",6
"207","2005-2006","2005-11-15","MIN",7
"208","2005-2006","2005-11-15","NOH",6
"209","2005-2006","2005-11-15","OKC",7
"210","2005-2006","2005-11-15","ORL",7
"211","2005-2006","2005-11-15","PHI",8
"212","2005-2006","2005-11-15","SAC",8
"213","2005-2006","2005-11-15","SAS",8
"214","2005-2006","2005-11-15","TOR",7
"215","2005-2006","2005-11-15","UTA",9
"216","2005-2006","2005-11-15","WAS",7
"217","2005-2006","2005-11-16","BOS",8
"218","2005-2006","2005-11-16","CHA",9
"219","2005-2006","2005-11-16","CHI",7
"220","2005-2006","2005-11-16","DEN",9
"221","2005-2006","2005-11-16","GSW",9
"222","2005-2006","2005-11-16","IND",7
"223","2005-2006","2005-11-16","LAL",8
"224","2005-2006","2005-11-16","MEM",9
"225","2005-2006","2005-11-16","MIL",7
"226","2005-2006","2005-11-16","NOH",7
"227","2005-2006","2005-11-16","NYK",8
"228","2005-2006","2005-11-16","OKC",8
"229","2005-2006","2005-11-16","PHI",9
"230","2005-2006","2005-11-16","PHO",7
"231","2005-2006","2005-11-16","POR",6
"232","2005-2006","2005-11-16","TOR",8
"233","2005-2006","2005-11-17","ATL",8
"234","2005-2006","2005-11-17","DAL",8
"235","2005-2006","2005-11-17","HOU",8
"236","2005-2006","2005-11-17","MIN",8
"237","2005-2006","2005-11-17","SAS",9
"238","2005-2006","2005-11-17","WAS",8
"239","2005-2006","2005-11-18","ATL",9
"240","2005-2006","2005-11-18","BOS",9
"241","2005-2006","2005-11-18","CHA",10
"242","2005-2006","2005-11-18","CHI",8
"243","2005-2006","2005-11-18","CLE",9
"244","2005-2006","2005-11-18","DEN",10
"245","2005-2006","2005-11-18","DET",8
"246","2005-2006","2005-11-18","GSW",10
"247","2005-2006","2005-11-18","HOU",9
"248","2005-2006","2005-11-18","IND",8
"249","2005-2006","2005-11-18","LAC",9
"250","2005-2006","2005-11-18","LAL",9
"251","2005-2006","2005-11-18","MIA",9
"252","2005-2006","2005-11-18","MIL",8
"253","2005-2006","2005-11-18","NOH",8
"254","2005-2006","2005-11-18","NYK",9
"255","2005-2006","2005-11-18","OKC",9
"256","2005-2006","2005-11-18","ORL",8
"257","2005-2006","2005-11-18","PHI",10
"258","2005-2006","2005-11-18","PHO",8
"259","2005-2006","2005-11-18","POR",7
"260","2005-2006","2005-11-18","SAC",9
"261","2005-2006","2005-11-18","TOR",9
"262","2005-2006","2005-11-18","UTA",10
"263","2005-2006","2005-11-19","BRK",9
"264","2005-2006","2005-11-19","CHA",11
"265","2005-2006","2005-11-19","CLE",10
"266","2005-2006","2005-11-19","DAL",9
"267","2005-2006","2005-11-19","DET",9
"268","2005-2006","2005-11-19","MEM",10
"269","2005-2006","2005-11-19","MIN",9
"270","2005-2006","2005-11-19","NOH",9
"271","2005-2006","2005-11-19","ORL",9
"272","2005-2006","2005-11-19","PHI",11
"273","2005-2006","2005-11-19","PHO",9
"274","2005-2006","2005-11-19","SAS",10
"275","2005-2006","2005-11-19","UTA",11
"276","2005-2006","2005-11-19","WAS",9
"277","2005-2006","2005-11-20","CHI",9
"278","2005-2006","2005-11-20","DEN",11
"279","2005-2006","2005-11-20","GSW",11
"280","2005-2006","2005-11-20","HOU",10
"281","2005-2006","2005-11-20","IND",9
"282","2005-2006","2005-11-20","LAC",10
"283","2005-2006","2005-11-20","LAL",10
"284","2005-2006","2005-11-20","MEM",11
"285","2005-2006","2005-11-20","MIA",10
"286","2005-2006","2005-11-20","NYK",10
"287","2005-2006","2005-11-20","OKC",10
"288","2005-2006","2005-11-20","POR",8
"289","2005-2006","2005-11-20","SAC",10
"290","2005-2006","2005-11-20","TOR",10
"291","2005-2006","2005-11-21","BRK",10
"292","2005-2006","2005-11-21","GSW",12
"293","2005-2006","2005-11-21","MIL",9
"294","2005-2006","2005-11-21","NOH",10
"295","2005-2006","2005-11-21","PHI",12
"296","2005-2006","2005-11-21","SAC",11
"297","2005-2006","2005-11-21","SAS",11
"298","2005-2006","2005-11-21","UTA",12
"299","2005-2006","2005-11-22","BOS",10
"300","2005-2006","2005-11-22","CLE",11
"301","2005-2006","2005-11-22","DAL",10
"302","2005-2006","2005-11-22","DEN",12
"303","2005-2006","2005-11-22","HOU",11
"304","2005-2006","2005-11-22","MEM",12
"305","2005-2006","2005-11-22","OKC",11
"306","2005-2006","2005-11-22","PHO",10
"307","2005-2006","2005-11-22","POR",9
"308","2005-2006","2005-11-22","TOR",11
"309","2005-2006","2005-11-22","UTA",13
"310","2005-2006","2005-11-22","WAS",10
"311","2005-2006","2005-11-23","ATL",10
"312","2005-2006","2005-11-23","BOS",11
"313","2005-2006","2005-11-23","BRK",11
"314","2005-2006","2005-11-23","CHA",12
"315","2005-2006","2005-11-23","DEN",13
"316","2005-2006","2005-11-23","DET",10
"317","2005-2006","2005-11-23","GSW",13
"318","2005-2006","2005-11-23","HOU",12
"319","2005-2006","2005-11-23","LAC",11
"320","2005-2006","2005-11-23","MIA",11
"321","2005-2006","2005-11-23","MIL",10
"322","2005-2006","2005-11-23","MIN",10
"323","2005-2006","2005-11-23","NOH",11
"324","2005-2006","2005-11-23","NYK",11
"325","2005-2006","2005-11-23","ORL",10
"326","2005-2006","2005-11-23","PHI",13
"327","2005-2006","2005-11-23","PHO",11
"328","2005-2006","2005-11-23","POR",10
"329","2005-2006","2005-11-23","SAC",12
"330","2005-2006","2005-11-23","SAS",12
"331","2005-2006","2005-11-23","TOR",12
"332","2005-2006","2005-11-23","WAS",11
"333","2005-2006","2005-11-24","CLE",12
"334","2005-2006","2005-11-24","IND",10
"335","2005-2006","2005-11-24","LAL",11
"336","2005-2006","2005-11-24","OKC",12
"337","2005-2006","2005-11-25","ATL",11
"338","2005-2006","2005-11-25","BOS",12
"339","2005-2006","2005-11-25","BRK",12
"340","2005-2006","2005-11-25","CHA",13
"341","2005-2006","2005-11-25","CHI",10
"342","2005-2006","2005-11-25","DAL",11
"343","2005-2006","2005-11-25","DEN",14
"344","2005-2006","2005-11-25","DET",11
"345","2005-2006","2005-11-25","GSW",14
"346","2005-2006","2005-11-25","HOU",13
"347","2005-2006","2005-11-25","IND",11
"348","2005-2006","2005-11-25","LAC",12
"349","2005-2006","2005-11-25","MEM",13
"350","2005-2006","2005-11-25","MIA",12
"351","2005-2006","2005-11-25","MIL",11
"352","2005-2006","2005-11-25","MIN",11
"353","2005-2006","2005-11-25","ORL",11
"354","2005-2006","2005-11-25","PHO",12
"355","2005-2006","2005-11-25","POR",11
"356","2005-2006","2005-11-25","SAC",13
"357","2005-2006","2005-11-25","SAS",13
"358","2005-2006","2005-11-25","TOR",13
"359","2005-2006","2005-11-25","UTA",14
"360","2005-2006","2005-11-25","WAS",12
"361","2005-2006","2005-11-26","CHA",14
"362","2005-2006","2005-11-26","CHI",11
"363","2005-2006","2005-11-26","CLE",13
"364","2005-2006","2005-11-26","DAL",12
"365","2005-2006","2005-11-26","DET",12
"366","2005-2006","2005-11-26","GSW",15
"367","2005-2006","2005-11-26","HOU",14
"368","2005-2006","2005-11-26","MEM",14
"369","2005-2006","2005-11-26","MIA",13
"370","2005-2006","2005-11-26","MIL",12
"371","2005-2006","2005-11-26","MIN",12
"372","2005-2006","2005-11-26","NOH",12
"373","2005-2006","2005-11-26","NYK",12
"374","2005-2006","2005-11-26","OKC",13
"375","2005-2006","2005-11-26","ORL",12
"376","2005-2006","2005-11-26","PHI",14
"377","2005-2006","2005-11-26","TOR",14
"378","2005-2006","2005-11-26","WAS",13
"379","2005-2006","2005-11-27","ATL",12
"380","2005-2006","2005-11-27","BRK",13
"381","2005-2006","2005-11-27","IND",12
"382","2005-2006","2005-11-27","LAC",13
"383","2005-2006","2005-11-27","LAL",12
"384","2005-2006","2005-11-27","POR",12
"385","2005-2006","2005-11-28","BOS",13
"386","2005-2006","2005-11-28","BRK",14
"387","2005-2006","2005-11-28","DAL",13
"388","2005-2006","2005-11-28","DEN",15
"389","2005-2006","2005-11-28","GSW",16
"390","2005-2006","2005-11-28","MIA",14
"391","2005-2006","2005-11-28","NOH",13
"392","2005-2006","2005-11-28","NYK",13
"393","2005-2006","2005-11-28","ORL",13
"394","2005-2006","2005-11-28","TOR",15
"395","2005-2006","2005-11-29","ATL",13
"396","2005-2006","2005-11-29","CHA",15
"397","2005-2006","2005-11-29","CHI",12
"398","2005-2006","2005-11-29","DAL",14
"399","2005-2006","2005-11-29","HOU",15
"400","2005-2006","2005-11-29","IND",13
"401","2005-2006","2005-11-29","LAC",14
"402","2005-2006","2005-11-29","LAL",13
"403","2005-2006","2005-11-29","MIL",13
"404","2005-2006","2005-11-29","MIN",13
"405","2005-2006","2005-11-29","ORL",14
"406","2005-2006","2005-11-29","PHI",15
"407","2005-2006","2005-11-29","POR",13
"408","2005-2006","2005-11-29","SAC",14
"409","2005-2006","2005-11-29","SAS",14
"410","2005-2006","2005-11-29","UTA",15
"411","2005-2006","2005-11-30","ATL",14
"412","2005-2006","2005-11-30","BOS",14
"413","2005-2006","2005-11-30","BRK",15
"414","2005-2006","2005-11-30","CHA",16
"415","2005-2006","2005-11-30","CHI",13
"416","2005-2006","2005-11-30","CLE",14
"417","2005-2006","2005-11-30","DEN",16
"418","2005-2006","2005-11-30","DET",13
"419","2005-2006","2005-11-30","GSW",17
"420","2005-2006","2005-11-30","IND",14
"421","2005-2006","2005-11-30","LAC",15
"422","2005-2006","2005-11-30","MEM",15
"423","2005-2006","2005-11-30","MIA",15
"424","2005-2006","2005-11-30","NOH",14
"425","2005-2006","2005-11-30","NYK",14
"426","2005-2006","2005-11-30","OKC",14
"427","2005-2006","2005-11-30","PHI",16
"428","2005-2006","2005-11-30","PHO",13
"429","2005-2006","2005-11-30","POR",14
"430","2005-2006","2005-11-30","SAC",15
"431","2005-2006","2005-11-30","TOR",16
"432","2005-2006","2005-11-30","WAS",14
"433","2005-2006","2005-12-01","DAL",15
"434","2005-2006","2005-12-01","LAL",14
"435","2005-2006","2005-12-01","SAS",15
"436","2005-2006","2005-12-01","UTA",16
"437","2005-2006","2005-12-02","ATL",15
"438","2005-2006","2005-12-02","BOS",15
"439","2005-2006","2005-12-02","CHA",17
"440","2005-2006","2005-12-02","CHI",14
"441","2005-2006","2005-12-02","CLE",15
"442","2005-2006","2005-12-02","DEN",17
"443","2005-2006","2005-12-02","DET",14
"444","2005-2006","2005-12-02","GSW",18
"445","2005-2006","2005-12-02","IND",15
"446","2005-2006","2005-12-02","LAL",15
"447","2005-2006","2005-12-02","MEM",16
"448","2005-2006","2005-12-02","MIA",16
"449","2005-2006","2005-12-02","MIL",14
"450","2005-2006","2005-12-02","MIN",14
"451","2005-2006","2005-12-02","NOH",15
"452","2005-2006","2005-12-02","NYK",15
"453","2005-2006","2005-12-02","OKC",15
"454","2005-2006","2005-12-02","ORL",15
"455","2005-2006","2005-12-02","PHI",17
"456","2005-2006","2005-12-02","PHO",14
"457","2005-2006","2005-12-02","POR",15
"458","2005-2006","2005-12-02","SAC",16
"459","2005-2006","2005-12-02","TOR",17
"460","2005-2006","2005-12-02","WAS",15
"461","2005-2006","2005-12-03","BRK",16
"462","2005-2006","2005-12-03","CHI",15
"463","2005-2006","2005-12-03","CLE",16
"464","2005-2006","2005-12-03","DAL",16
"465","2005-2006","2005-12-03","DEN",18
"466","2005-2006","2005-12-03","DET",15
"467","2005-2006","2005-12-03","HOU",16
"468","2005-2006","2005-12-03","LAC",16
"469","2005-2006","2005-12-03","MEM",17
"470","2005-2006","2005-12-03","MIA",17
"471","2005-2006","2005-12-03","MIL",15
"472","2005-2006","2005-12-03","NOH",16
"473","2005-2006","2005-12-03","ORL",16
"474","2005-2006","2005-12-03","PHI",18
"475","2005-2006","2005-12-03","SAS",16
"476","2005-2006","2005-12-03","TOR",18
"477","2005-2006","2005-12-04","ATL",16
"478","2005-2006","2005-12-04","BOS",16
"479","2005-2006","2005-12-04","CHA",18
"480","2005-2006","2005-12-04","IND",16
"481","2005-2006","2005-12-04","LAL",16
"482","2005-2006","2005-12-04","MIN",15
"483","2005-2006","2005-12-04","NYK",16
"484","2005-2006","2005-12-04","OKC",16
"485","2005-2006","2005-12-04","PHO",15
"486","2005-2006","2005-12-04","POR",16
"487","2005-2006","2005-12-04","SAC",17
"488","2005-2006","2005-12-04","UTA",17
"489","2005-2006","2005-12-05","CHI",16
"490","2005-2006","2005-12-05","DAL",17
"491","2005-2006","2005-12-05","LAC",17
"492","2005-2006","2005-12-05","MIA",18
"493","2005-2006","2005-12-05","MIN",16
"494","2005-2006","2005-12-05","ORL",17
"495","2005-2006","2005-12-05","SAS",17
"496","2005-2006","2005-12-05","UTA",18
"497","2005-2006","2005-12-06","ATL",17
"498","2005-2006","2005-12-06","BOS",17
"499","2005-2006","2005-12-06","CLE",17
"500","2005-2006","2005-12-06","DAL",18
"501","2005-2006","2005-12-06","DEN",19
"502","2005-2006","2005-12-06","HOU",17
"503","2005-2006","2005-12-06","IND",17
"504","2005-2006","2005-12-06","LAL",17
"505","2005-2006","2005-12-06","MEM",18
"506","2005-2006","2005-12-06","MIL",16
"507","2005-2006","2005-12-06","NOH",17
"508","2005-2006","2005-12-06","NYK",17
"509","2005-2006","2005-12-06","OKC",17
"510","2005-2006","2005-12-06","PHO",16
"511","2005-2006","2005-12-06","POR",17
"512","2005-2006","2005-12-06","SAC",18
"513","2005-2006","2005-12-06","TOR",19
"514","2005-2006","2005-12-06","WAS",16
"515","2005-2006","2005-12-07","ATL",18
"516","2005-2006","2005-12-07","BOS",18
"517","2005-2006","2005-12-07","BRK",17
"518","2005-2006","2005-12-07","CHA",19
"519","2005-2006","2005-12-07","CHI",17
"520","2005-2006","2005-12-07","GSW",19
"521","2005-2006","2005-12-07","LAC",18
"522","2005-2006","2005-12-07","LAL",18
"523","2005-2006","2005-12-07","MIA",19
"524","2005-2006","2005-12-07","MIL",17
"525","2005-2006","2005-12-07","MIN",17
"526","2005-2006","2005-12-07","NOH",18
"527","2005-2006","2005-12-07","NYK",18
"528","2005-2006","2005-12-07","ORL",18
"529","2005-2006","2005-12-07","PHI",19
"530","2005-2006","2005-12-07","PHO",17
"531","2005-2006","2005-12-07","POR",18
"532","2005-2006","2005-12-07","SAS",18
"533","2005-2006","2005-12-07","TOR",20
"534","2005-2006","2005-12-07","UTA",19
"535","2005-2006","2005-12-08","HOU",18
"536","2005-2006","2005-12-08","IND",18
"537","2005-2006","2005-12-08","SAC",19
"538","2005-2006","2005-12-08","WAS",17
"539","2005-2006","2005-12-09","BOS",19
"540","2005-2006","2005-12-09","BRK",18
"541","2005-2006","2005-12-09","CHA",20
"542","2005-2006","2005-12-09","CHI",18
"543","2005-2006","2005-12-09","CLE",18
"544","2005-2006","2005-12-09","DAL",19
"545","2005-2006","2005-12-09","DEN",20
"546","2005-2006","2005-12-09","DET",16
"547","2005-2006","2005-12-09","GSW",20
"548","2005-2006","2005-12-09","LAL",19
"549","2005-2006","2005-12-09","MEM",19
"550","2005-2006","2005-12-09","MIA",20
"551","2005-2006","2005-12-09","NOH",19
"552","2005-2006","2005-12-09","NYK",19
"553","2005-2006","2005-12-09","OKC",18
"554","2005-2006","2005-12-09","PHI",20
"555","2005-2006","2005-12-09","PHO",18
"556","2005-2006","2005-12-09","POR",19
"557","2005-2006","2005-12-09","SAS",19
"558","2005-2006","2005-12-09","UTA",20
"559","2005-2006","2005-12-10","ATL",19
"560","2005-2006","2005-12-10","BOS",20
"561","2005-2006","2005-12-10","BRK",19
"562","2005-2006","2005-12-10","CHA",21
"563","2005-2006","2005-12-10","CHI",19
"564","2005-2006","2005-12-10","CLE",19
"565","2005-2006","2005-12-10","DAL",20
"566","2005-2006","2005-12-10","DEN",21
"567","2005-2006","2005-12-10","IND",19
"568","2005-2006","2005-12-10","LAC",19
"569","2005-2006","2005-12-10","LAL",20
"570","2005-2006","2005-12-10","MEM",20
"571","2005-2006","2005-12-10","MIL",18
"572","2005-2006","2005-12-10","MIN",18
"573","2005-2006","2005-12-10","OKC",19
"574","2005-2006","2005-12-10","ORL",19
"575","2005-2006","2005-12-10","PHI",21
"576","2005-2006","2005-12-10","PHO",19
"577","2005-2006","2005-12-10","SAC",20
"578","2005-2006","2005-12-10","SAS",20
"579","2005-2006","2005-12-10","TOR",21
"580","2005-2006","2005-12-10","WAS",18
"581","2005-2006","2005-12-11","DET",17
"582","2005-2006","2005-12-11","HOU",19
"583","2005-2006","2005-12-11","LAC",20
"584","2005-2006","2005-12-11","MIA",21
"585","2005-2006","2005-12-11","NOH",20
"586","2005-2006","2005-12-11","POR",20
"587","2005-2006","2005-12-11","SAC",21
"588","2005-2006","2005-12-11","WAS",19
"589","2005-2006","2005-12-12","DAL",21
"590","2005-2006","2005-12-12","DET",18
"591","2005-2006","2005-12-12","LAL",21
"592","2005-2006","2005-12-12","MIL",19
"593","2005-2006","2005-12-12","MIN",19
"594","2005-2006","2005-12-12","NOH",21
"595","2005-2006","2005-12-12","NYK",20
"596","2005-2006","2005-12-12","PHI",22
"597","2005-2006","2005-12-12","PHO",20
"598","2005-2006","2005-12-12","UTA",21
"599","2005-2006","2005-12-13","ATL",20
"600","2005-2006","2005-12-13","BRK",20
"601","2005-2006","2005-12-13","CHA",22
"602","2005-2006","2005-12-13","CHI",20
"603","2005-2006","2005-12-13","CLE",20
"604","2005-2006","2005-12-13","DEN",22
"605","2005-2006","2005-12-13","GSW",21
"606","2005-2006","2005-12-13","LAC",21
"607","2005-2006","2005-12-13","MIA",22
"608","2005-2006","2005-12-13","MIN",20
"609","2005-2006","2005-12-13","OKC",20
"610","2005-2006","2005-12-13","SAC",22
"611","2005-2006","2005-12-13","SAS",21
"612","2005-2006","2005-12-13","WAS",20
"613","2005-2006","2005-12-14","ATL",21
"614","2005-2006","2005-12-14","BOS",21
"615","2005-2006","2005-12-14","BRK",21
"616","2005-2006","2005-12-14","CHA",23
"617","2005-2006","2005-12-14","CHI",21
"618","2005-2006","2005-12-14","DAL",22
"619","2005-2006","2005-12-14","DET",19
"620","2005-2006","2005-12-14","GSW",22
"621","2005-2006","2005-12-14","HOU",20
"622","2005-2006","2005-12-14","IND",20
"623","2005-2006","2005-12-14","LAC",22
"624","2005-2006","2005-12-14","LAL",22
"625","2005-2006","2005-12-14","MEM",21
"626","2005-2006","2005-12-14","MIA",23
"627","2005-2006","2005-12-14","MIL",20
"628","2005-2006","2005-12-14","NOH",22
"629","2005-2006","2005-12-14","NYK",21
"630","2005-2006","2005-12-14","ORL",20
"631","2005-2006","2005-12-14","PHI",23
"632","2005-2006","2005-12-14","PHO",21
"633","2005-2006","2005-12-14","POR",21
"634","2005-2006","2005-12-14","SAC",23
"635","2005-2006","2005-12-14","TOR",22
"636","2005-2006","2005-12-14","UTA",22
"637","2005-2006","2005-12-15","CLE",21
